,filepath,pub_date,page_seq_num,edition_seq_num,batch,lccn,box,score,ocr,place_of_publication,geographic_coverage,name,publisher,url,page_url
330,nbu_beatrice_ver01/data/sn99021999/00206539495/1899111201/0562/006_0_97.jpg,1899-11-12,562,1,nbu_beatrice_ver01,sn99021999,"[0.055345771700000004, 0.7479803194, 0.40466459920000003, 0.9404130021]",0.9728023410000001,[],Omaha [Neb.],['Nebraska--Douglas--Omaha'],Omaha daily bee.,Edward Rosewater,https://news-navigator.labs.loc.gov/data/nbu_beatrice_ver01/data/sn99021999/00206539495/1899111201/0562/006_0_97.jpg,https://chroniclingamerica.loc.gov/data/batches/nbu_beatrice_ver01/data/sn99021999/00206539495/1899111201/0562.jp2
331,dlc_lotus_ver01/data/sn83030214/00175037093/1899112601/0519/011_0_91.jpg,1899-11-26,519,1,dlc_lotus_ver01,sn83030214,"[0.0210347322, 0.058009182900000004, 0.1739570618, 0.2091148223]",0.9106926918,"['MRS', 'M', 'NT*', 'A', 'nnx', 'I-JUTED']",New York [N.Y.],['New York--New York--New York'],New-York tribune. [volume],New York Tribune,https://news-navigator.labs.loc.gov/data/dlc_lotus_ver01/data/sn83030214/00175037093/1899112601/0519/011_0_91.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_lotus_ver01/data/sn83030214/00175037093/1899112601/0519.jp2
332,dlc_japanesechin_ver01/data/sn83045462/00280655302/1899121401/0144/001_0_90.jpg,1899-12-14,144,1,dlc_japanesechin_ver01,sn83045462,"[0.1581519167, 0.0215196574, 0.42791725220000004, 0.1853901845]",0.9024457932000001,"['In', 'THAT', 'GEN.', 'WASHINGTON', '04', 'CUPIED', 'IN', 'THE', 'ALEXANDRIA', 'LODGE.']","Washington, D.C.",['District of Columbia--Washington'],Evening star. [volume],W.D. Wallach & Hope,https://news-navigator.labs.loc.gov/data/dlc_japanesechin_ver01/data/sn83045462/00280655302/1899121401/0144/001_0_90.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_japanesechin_ver01/data/sn83045462/00280655302/1899121401/0144.jp2
333,wa_entiat_ver01/data/sn83045604/00202199641/1899072301/0503/002_0_90.jpg,1899-07-23,503,1,wa_entiat_ver01,sn83045604,"[0.31745175470000003, 0.2390898081, 0.700036748, 0.4861195707]",0.9093805552,"['The', 'magnificent', 'steamer', 'Queen', 'returning', 'to', 'Seattle', 'from', 'Paget', 'Sound', 'Naval', 'Station,', 'having', 'aboard', 'members', 'of', 'National', 'Editorial', 'Association,', 'State', 'Editorial', 'Association', 'and', 'friends', 'and', 'relatives.']","Seattle, Wash. Terr. [Wash.]",['Washington--King--Seattle'],The Seattle post-intelligencer. [volume],Post-Intelligencer Pub. Co.,https://news-navigator.labs.loc.gov/data/wa_entiat_ver01/data/sn83045604/00202199641/1899072301/0503/002_0_90.jpg,https://chroniclingamerica.loc.gov/data/batches/wa_entiat_ver01/data/sn83045604/00202199641/1899072301/0503.jp2
334,dlc_kaiser_ver01/data/sn83030214/00175037019/1899050701/0113/003_0_96.jpg,1899-05-07,113,1,dlc_kaiser_ver01,sn83030214,"[0.5097808838, 0.6869971093, 0.8282544886000001, 0.8801909102000001]",0.9667220712000001,"['WEST', 'SEVKXTY', 'SIXOND-ST.,', 'FROM', 'COMJMBCe-AVE.']",New York [N.Y.],['New York--New York--New York'],New-York tribune. [volume],New York Tribune,https://news-navigator.labs.loc.gov/data/dlc_kaiser_ver01/data/sn83030214/00175037019/1899050701/0113/003_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_kaiser_ver01/data/sn83030214/00175037019/1899050701/0113.jp2
335,dlc_kaiser_ver01/data/sn83030214/00175036982/1899031601/0283/005_0_96.jpg,1899-03-16,283,1,dlc_kaiser_ver01,sn83030214,"[0.5002081425, 0.12807124790000002, 0.6669420536, 0.27070483370000004]",0.9658581018000001,"['?-', '?.', '?.', ',.', '?', '*-*_55.', '-__i5?', '-?**__""?', '__rj']",New York [N.Y.],['New York--New York--New York'],New-York tribune. [volume],New York Tribune,https://news-navigator.labs.loc.gov/data/dlc_kaiser_ver01/data/sn83030214/00175036982/1899031601/0283/005_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_kaiser_ver01/data/sn83030214/00175036982/1899031601/0283.jp2
336,kyu_airplane_ver01/data/sn86069848/00206533389/1899031801/0102/000_0_97.jpg,1899-03-18,102,1,kyu_airplane_ver01,sn86069848,"[0.2332995207, 0.06386148080000001, 0.4050609644, 0.2600311162]",0.9724994302000001,"['Franklin', 'Countys', 'Candidate', 'Wednesday', 'afternoon', 'Judge', 'Miircnu', 'nluill', 'rnnrl', 'millrf', '4nt', 'ti', 'ulwtrt', 'xuiaij', 'uujiiuiiiiu', 'vinii', 'ui']","Frankfort, Ky.",['Kentucky--Franklin--Frankfort'],The Frankfort roundabout. [volume],George A. Lewis,https://news-navigator.labs.loc.gov/data/kyu_airplane_ver01/data/sn86069848/00206533389/1899031801/0102/000_0_97.jpg,https://chroniclingamerica.loc.gov/data/batches/kyu_airplane_ver01/data/sn86069848/00206533389/1899031801/0102.jp2
337,curiv_joshuaTree_ver01/data/sn85066387/00175037871/1899091701/0498/000_0_91.jpg,1899-09-17,498,1,curiv_joshuaTree_ver01,sn85066387,"[0.0272226235, 0.0266301114, 0.5753507891, 0.5276992819]",0.9166193604,"['THE', 'GREAT', 'BEET', 'SUGAR']",San Francisco [Calif.],['California--San Francisco--San Francisco'],The San Francisco call. [volume],Charles M. Shortridge,https://news-navigator.labs.loc.gov/data/curiv_joshuaTree_ver01/data/sn85066387/00175037871/1899091701/0498/000_0_91.jpg,https://chroniclingamerica.loc.gov/data/batches/curiv_joshuaTree_ver01/data/sn85066387/00175037871/1899091701/0498.jp2
338,ct_animals_ver01/data/sn92051501/00271763682/1899042001/0076/000_0_97.jpg,1899-04-20,76,1,ct_animals_ver01,sn92051501,"[0.16700065320000002, 0.0617957083, 0.36856529400000004, 0.20377428920000001]",0.9772002101,"[':', '.', 'z', 'M', 'i', 'x:', 'i', 'I:', 'r', '-', 's', 'i', 'a""', 'llmr', '1869.', 'Samuel', 'Allen', 'Jacob.']","Stafford Springs, Conn.",['Connecticut--Tolland--Stafford Springs'],The Press.,James McLaughlin,https://news-navigator.labs.loc.gov/data/ct_animals_ver01/data/sn92051501/00271763682/1899042001/0076/000_0_97.jpg,https://chroniclingamerica.loc.gov/data/batches/ct_animals_ver01/data/sn92051501/00271763682/1899042001/0076.jp2
339,ncu_hawk_ver02/data/sn84020731/00416157133/1899011901/0251/005_0_96.jpg,1899-01-19,251,1,ncu_hawk_ver02,sn84020731,"[0.033064179, 0.0590945021, 0.39946669700000004, 0.20002351470000002]",0.9631712437000001,"['STATE', 'NORMAL', 'AND', 'INDUSTRIAL', 'SCHOOL,', ""fanH'l"", 'MCi', 'i', 'ii', ""'"", '""', 'il', ')i', 'i', 'in', '-m', 'i', 'in', 'iilii', ')-', ""Va'iia'ui"", ""'"", 'GREENSBORO,', 'N.', 'O.']","Durham, N.C.","['North Carolina--Durham--Durham', 'North Carolina--Orange--Hillsboro']",The Durham recorder. [volume],J.D. Cameron,https://news-navigator.labs.loc.gov/data/ncu_hawk_ver02/data/sn84020731/00416157133/1899011901/0251/005_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/ncu_hawk_ver02/data/sn84020731/00416157133/1899011901/0251.jp2
340,me_isleboro_ver01/data/sn83016025/00414210752/1899112201/0254/003_0_91.jpg,1899-11-22,254,1,me_isleboro_ver01,sn83016025,"[0.0863406542, 0.3002965465, 0.4397400791, 0.5030802878]",0.9113950729,"['THE', 'CATHEDRAE', 'OF']","Portland, Me.",['Maine--Cumberland--Portland'],The Portland daily press. [volume],N.A. Foster & Co.,https://news-navigator.labs.loc.gov/data/me_isleboro_ver01/data/sn83016025/00414210752/1899112201/0254/003_0_91.jpg,https://chroniclingamerica.loc.gov/data/batches/me_isleboro_ver01/data/sn83016025/00414210752/1899112201/0254.jp2
341,curiv_carlsbad_ver01/data/sn85066387/00175047505/1899123101/0725/000_0_99.jpg,1899-12-31,725,1,curiv_carlsbad_ver01,sn85066387,"[0.538800684, 0.6586834345, 0.8195202029, 0.9755410503]",0.9906399250000001,[],San Francisco [Calif.],['California--San Francisco--San Francisco'],The San Francisco call. [volume],Charles M. Shortridge,https://news-navigator.labs.loc.gov/data/curiv_carlsbad_ver01/data/sn85066387/00175047505/1899123101/0725/000_0_99.jpg,https://chroniclingamerica.loc.gov/data/batches/curiv_carlsbad_ver01/data/sn85066387/00175047505/1899123101/0725.jp2
342,dlc_kaiser_ver01/data/sn83030214/00175036957/1899011201/0217/000_0_99.jpg,1899-01-12,217,1,dlc_kaiser_ver01,sn83030214,"[0.6596451998, 0.5018835313, 0.9619419575, 0.7201750644]",0.9940083027000001,"['DR', 'ITERMAN', 'C', 'H.', 'HEROLD.']",New York [N.Y.],['New York--New York--New York'],New-York tribune. [volume],New York Tribune,https://news-navigator.labs.loc.gov/data/dlc_kaiser_ver01/data/sn83030214/00175036957/1899011201/0217/000_0_99.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_kaiser_ver01/data/sn83030214/00175036957/1899011201/0217.jp2
343,dlc_kaiser_ver01/data/sn83030214/00175036994/1899042301/0480/001_0_97.jpg,1899-04-23,480,1,dlc_kaiser_ver01,sn83030214,"[0.5198883431, 0.4726586457, 0.7459997409, 0.8240187115000001]",0.9720202684,"['INSPECTOR', 'P.', 'CARTWRIOHT.', 'Northwest', 'Mounted', 'Police.']",New York [N.Y.],['New York--New York--New York'],New-York tribune. [volume],New York Tribune,https://news-navigator.labs.loc.gov/data/dlc_kaiser_ver01/data/sn83030214/00175036994/1899042301/0480/001_0_97.jpg,https://chroniclingamerica.loc.gov/data/batches/dlc_kaiser_ver01/data/sn83030214/00175036994/1899042301/0480.jp2
